# Widelands 简体中文术语表——由 build_glossary.py 生成，请勿手工编辑。
# 要改译名请改 i18n-zh/corrections.tsv 后重新生成。
# check_po.py --glossary 会据此校验全部 32 个域的一致性。
#
# 英文	中文	msgctxt	出处	备注
A Lot of Coal	许多煤	resource_indicator	tribes	
A Lot of Crystals	许多水晶	resource_indicator	tribes	
A Lot of Gold	许多黄金	resource_indicator	tribes	
A Lot of Granite	许多花岗石	resource_indicator	tribes	
A Lot of Iron	许多铁	resource_indicator	tribes	
A Lot of Marble	许多大理石	resource_indicator	tribes	
A Lot of Quartz	大量石英	resource_indicator	tribes	
Abacaxis	阿巴卡西斯号	shipname	tribes	
Abaco	阿巴科号	shipname	tribes	
Acari	阿卡里号	shipname	tribes	
Acre	阿克里号	shipname	tribes	
Acurauá	阿库拉瓦号	shipname	tribes	
Adamas	金刚石号	shipname	tribes	
Add-On	附加内容		corrections	原"附件"/"插件"混用；实为可安装内容包
add-on	附加内容		corrections	同上
Add-Ons	附加内容		corrections	同上
add-ons	附加内容		corrections	同上
Adriatic Sea	亚得里亚海	shipname	tribes	
Advanced Shield	高级护盾	ware	tribes	
Advanced Spear	高级长枪	ware	tribes	
Agate	玛瑙号	shipname	tribes	
Agilaz	阿吉拉兹	shipname	tribes	
Agrippa	阿格里帕号	shipname	tribes	
Aiari	艾阿里号	shipname	tribes	
Alalaú	阿拉劳号	shipname	tribes	
Alder	桤木		world	
Alder (Mature)	桤木(成材的)		world	
Alder (Old)	桤木(老树)		world	
Alder (Pole)	桤木(树干)		world	
Alder (Sapling)	桤木(树苗)		world	
Alexandria	亚历山大	shipname	tribes	
Alexandrite	亚历山大变色石号	shipname	tribes	
Alt-Nordstrand	奥特-诺德斯特兰	shipname	tribes	
Amalea	亚玛利亚	shipname	tribes	
Amanã	阿马南号	shipname	tribes	
Amapá	阿马帕号	shipname	tribes	
Amazonas	亚马逊	shipname	tribes	
Amazons	亚马逊人		tribes	
Amber	琥珀号	shipname	tribes	
Amethyst	紫水晶号	shipname	tribes	
Amolius	阿莫利乌斯	shipname	tribes	
Amrum	阿姆鲁姆	shipname	tribes	
Anchicayá	阿测查雅号	shipname	tribes	
Andirá	安迪拉号	shipname	tribes	
Anguilla	安圭拉岛号	shipname	tribes	
Antigua	安提瓜岛号	shipname	tribes	
Antimary	安蒂马里号	shipname	tribes	
Apollo	阿波罗	shipname	tribes	
Apoquitaua	阿波基塔瓦号	shipname	tribes	
Apu Illapu	阿普伊利亚普号	shipname	tribes	
Apuaú	阿普阿乌号	shipname	tribes	
Aqua Farm	水产养殖场	frisians_building	tribes	
Aquamarine	海蓝宝石号	shipname	tribes	
Aquatic	水生动物		corrections	编辑器动物类别名，原"水栖的"是形容词
Aquila	天鹰号	shipname	tribes	
Arara	阿拉拉号	shipname	tribes	
Ararirá	阿拉里拉号	shipname	tribes	
Arauã	阿拉万号	shipname	tribes	
Araçá	阿拉萨号	shipname	tribes	
Arena	竞技场	empire_building	tribes	
Aripuanã	阿里普安南号	shipname	tribes	
Armor	盔甲	ware	tribes	
Armor Smithy	盔甲铺	atlanteans_building	tribes	
Armor Smithy	盔甲铺	empire_building	tribes	
Armorsmith	盔甲匠人	atlanteans_worker	tribes	
Armorsmith	盔甲匠人	empire_worker	tribes	
Arrojo	阿罗霍号	shipname	tribes	
Artifact	远古遗物		world	
Artifact Conquered	控制远古遗物		win_conditions	
Artifact Found	找到远古遗物		win_conditions	
Artifact Lost	丢失远古遗物		win_conditions	
Artifacts	远古遗物		win_conditions,world	
Artifacts owned	拥有的远古遗物		win_conditions	
Ashes	灰烬	immovable	tribes	
Ashes 1	灰烬 1		world	
Ashes 2	灰烬 2		world	
Aslaug	亚丝拉琪	shipname	tribes	
Aspen	白杨树		world	
Aspen (Mature)	白杨(成材的)		world	
Aspen (Old)	白杨(老树)		world	
Aspen (Pole)	白杨(树干)		world	
Aspen (Sapling)	白杨(树苗)		world	
Atahuallpa	阿塔瓦尔帕号	shipname	tribes	
Atiparaná	阿蒂帕拉纳号	shipname	tribes	
Atlanteans	亚特兰蒂斯人		tribes	
Atlantean’s Stronghold	亚特兰蒂斯岛的要塞	shipname	tribes	
Atlantis	亚特兰蒂斯	shipname	tribes	
Atucatiquini	阿图卡蒂基尼号	shipname	tribes	
Augustus	奥古斯都	shipname	tribes	
Aurum	黄金号	shipname	tribes	
Autaz-mirim	奥塔斯米林号	shipname	tribes	
Autocrat	独裁者		win_conditions	
Ax	斧	ware	tribes	
Ax Workshop	斧头厂	barbarians_building	tribes	
Ayar Cachi	阿亚尔卡奇号	shipname	tribes	
Azurea Sea	阿祖拉海	shipname	tribes	
Açuã	阿苏安号	shipname	tribes	
Badajós	巴达若斯号	shipname	tribes	
Badger	獾		world	
Bahama	巴哈马	shipname	tribes	
Baker	面包师	atlanteans_worker	tribes	
Baker	面包师	barbarians_worker	tribes	
Baker	面包师	empire_worker	tribes	
Baker	面包师	frisians_worker	tribes	
Bakery	面包房	atlanteans_building	tribes	
Bakery	面包房	barbarians_building	tribes	
Bakery	面包房	empire_building	tribes	
Bakery	面包房	frisians_building	tribes	
baking bread	烘烤面包		tribes	
baking bread	烘烤面包	atlanteans_building	tribes	
